Station,LONG,LAT,WIN,F0,STDF0,F0MIN,F0MAX,A0,Kg
c0avf180311031836,95.60264,5.51095,17,4.54102,1.238578,3.666315,5.6244,0.62658,0.08646
c0avf180311042927,95.60243,5.50855,33,1.85547,2.122515,0.874184,3.938259,0.83893,0.37931
c0avf180311081420,95.60136,5.51419,14,1.95312,2.116184,0.922947,4.133172,0.59624,0.18202
c0avf180317035018,95.62041,5.49178,32,5.41992,0.820151,4.445156,6.608442,1.3125,0.31784
c0avf180317044929,95.61746,5.49329,2,4.248047,3.832464,1.108438,10,0.361094,0.030694
c0avf180317055853,95.61488,5.4931,4,7.03125,3.417736,2.057283,10,0.4248,0.02566
c0avf180317074010,95.61552,5.49534,10,5.22461,1.046994,4.990106,5.470133,0.60881,0.07094
c0avf180317084059,95.61334,5.49491,10,3.66211,0.892441,3.268216,4.103476,0.9079,0.22509
c0avf180317095058,95.61248,5.49817,2,8.34961,0.069053,0.576569,10,2.29891,0.63296
c0avf180318023636,95.61856,5.50107,39,7.56836,2.844741,2.660474,10,0.98703,0.12872
c0avf180318033727,95.61763,5.49898,7,5.76172,1.193878,4.826051,6.878792,0.66561,0.07689
c0avf180318043710,95.6159,5.4997,19,4.3457,1.36743,3.178008,5.942443,0.65841,0.09975
c0avf180318071020,95.61296,5.49966,21,3.32031,1.374232,2.416122,4.56288,0.89124,0.23922
c0avf180318080157,95.61259,5.50243,14,3.36914,1.546662,2.17833,5.210922,0.65051,0.1256
c0avf180318090037,95.6095,5.50017,49,2.29492,0.957584,2.197581,2.396574,1.03632,0.46798
c0avf180318100821,95.60626,5.50394,41,3.22266,1.229994,2.620059,3.963848,1.11043,0.38262
c0avf180318110657,95.60382,5.50653,40,1.75781,1.177859,1.49238,2.070455,1.12689,0.72242
c0avf180319021548,95.60851,5.50857,47,2.29492,1.547099,1.483371,3.550471,1.26721,0.69973
c0avf180319031427,95.60725,5.51006,42,2.58789,1.522788,1.699443,3.940808,0.81371,0.25585
c0avf180319043002,95.59954,5.51025,19,6.20117,2.379811,2.605741,10,0.51128,0.04215
c0avf180319051708,95.6006,5.51246,12,4.24805,1.83745,2.311925,7.805575,0.56507,0.07516
