Seismic Vulnerability Index of Microtremor (SVIM) Output
Station =  c0c02231120035925
Longitude =  1.000000
Latitude =  2.000000
Window =  62
Length Window =  25
Standard Deviation (F0) =  0.354545
A0 =  3.901196
F0 =  0.177419
Kg =  85.781677
Fmin =  0.062903
Fmax =  0.500415
Freq     H/V      SpecH/V  MinStd   MaxStd 
0.100000 0.000000 0.000000 0.000000 0.000000
0.109677 3.057424 3.057431 1.003111 5.111737
0.119355 3.040635 3.040684 2.045275 4.035995
0.129032 2.627310 2.627051 1.826192 3.428428
0.138710 2.773154 2.773081 1.413601 4.132706
0.148387 3.012610 3.012658 1.415212 4.610007
0.158065 3.238429 3.237202 0.942598 5.534260
0.167742 3.707865 3.706221 0.576577 6.839153
0.177419 3.901196 3.906439 1.915585 5.886807
0.187097 3.847160 3.861444 2.206117 5.488202
0.196774 3.655154 3.665755 2.433804 4.876504
0.206452 3.433440 3.475674 2.288897 4.577982
0.216129 3.035026 3.066734 1.936015 4.134037
0.225806 2.665394 2.582061 1.831627 3.499161
0.235484 2.585672 2.610204 1.951176 3.220169
0.245161 2.480540 2.530028 1.888540 3.072541
0.254839 2.295483 2.265199 1.692187 2.898780
0.264516 2.126078 2.174875 1.592981 2.659176
0.274194 1.986080 1.902594 1.534877 2.437283
0.283871 1.916144 1.964374 1.484638 2.347651
0.293548 1.877596 1.827816 1.400210 2.354982
0.303226 1.895281 1.849662 1.378236 2.412326
0.312903 1.984629 1.951228 1.466046 2.503211
0.322581 2.088376 2.126672 1.527609 2.649143
0.332258 2.163623 2.191795 1.469587 2.857659
0.341935 2.228256 2.144477 1.369269 3.087242
0.351613 2.302278 2.344587 1.337480 3.267077
0.361290 2.374104 2.375488 1.405807 3.342401
0.370968 2.431103 2.424537 1.544319 3.317886
0.380645 2.466155 2.495132 1.694672 3.237638
0.390323 2.472538 2.542827 1.805243 3.139832
0.400000 2.456332 2.446998 1.864626 3.048039
0.409677 2.435400 2.394820 1.889882 2.980918
0.419355 2.422728 2.428547 1.893009 2.952447
0.429032 2.420356 2.428128 1.875125 2.965588
0.438710 2.424187 2.393804 1.841457 3.006916
0.448387 2.426934 2.424789 1.805518 3.048350
0.458065 2.419441 2.486597 1.778964 3.059919
0.467742 2.394482 2.454680 1.763446 3.025518
0.477419 2.350151 2.347511 1.752344 2.947959
0.487097 2.289255 2.326675 1.737461 2.841049
0.496774 2.216395 2.266380 1.713841 2.718949
0.506452 2.136225 2.143013 1.680583 2.591867
0.516129 2.053580 2.050949 1.639432 2.467729
0.525806 1.973917 1.984960 1.593508 2.354327
0.535484 1.902887 1.897244 1.546988 2.258787
0.545161 1.845225 1.778758 1.505004 2.185446
0.554839 1.803656 1.765283 1.472762 2.134550
0.564516 1.778283 1.747971 1.453813 2.102753
0.574194 1.766609 1.708276 1.448488 2.084730
0.583871 1.764204 1.776673 1.453633 2.074775
0.593548 1.765967 1.755743 1.463994 2.067939
0.603226 1.767702 1.770434 1.474592 2.060812
0.612903 1.767497 1.804518 1.482847 2.052147
0.622581 1.766316 1.806106 1.489455 2.043177
0.632258 1.767480 1.766463 1.497692 2.037268
0.641935 1.775170 1.684436 1.511613 2.038728
